image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_01929.jpg,photo_01931.jpg,2022-01-14 21:12:25,2022-01-14 21:12:43,18,"(748.885009765625, 257.9891052246094)","(636.0, 452.0)",1.42064646172966,0.009982409137753744
photo_01929.jpg,photo_01932.jpg,2022-01-14 21:12:25,2022-01-14 21:12:50,25,"(1092.9600830078125, 708.4800415039062)","(1107.60009765625, 202.8000030517578)",3.1817101675234247,0.01609690807953451
photo_01929.jpg,photo_01933.jpg,2022-01-14 21:12:25,2022-01-14 21:12:59,34,"(1093.8240966796875, 706.7520751953125)","(57.0, 657.0)",6.569728409520092,0.024439389683414744
photo_01929.jpg,photo_01934.jpg,2022-01-14 21:12:25,2022-01-14 21:13:08,43,"(1092.9600830078125, 708.4800415039062)","(725.0, 692.0)",2.4720063671563626,0.007271148030649692
photo_01929.jpg,photo_01935.jpg,2022-01-14 21:12:25,2022-01-14 21:13:17,52,"(910.725341796875, 528.519287109375)","(1124.6400146484375, 698.4000244140625)",1.7737967394865046,0.004314419454043329
photo_01930.jpg,photo_01931.jpg,2022-01-14 21:12:34,2022-01-14 21:12:43,9,"(72.57601165771484, 228.09603881835938)","(485.22247314453125, 277.8624267578125)",1.1024843893379954,0.015493580618163296
photo_01930.jpg,photo_01932.jpg,2022-01-14 21:12:34,2022-01-14 21:12:50,16,"(182.47682189941406, 246.75843811035156)","(1028.5057373046875, 348.3648376464844)",2.3029957720629146,0.01820518157815734
photo_01930.jpg,photo_01933.jpg,2022-01-14 21:12:34,2022-01-14 21:12:59,25,"(211.20001220703125, 220.8000030517578)","(1070.4000244140625, 969.6000366210938)",4.74876839159157,0.02402496904674007
photo_01930.jpg,photo_01934.jpg,2022-01-14 21:12:34,2022-01-14 21:13:08,34,"(88.80000305175781, 324.0)","(453.86968994140625, 641.9867553710938)",2.220825277230133,0.008261470031296096
photo_01930.jpg,photo_01935.jpg,2022-01-14 21:12:34,2022-01-14 21:13:17,43,"(100.22400665283203, 312.7680358886719)","(990.0000610351562, 879.6000366210938)",5.096560990602566,0.014991000792823549
